first_name,last_name,age,sex,marital_status,retired,dependants,salary,pension,company,commute_distance,address_main,address_city,address_postcode,iban,credit_card_number,credit_card_security_code,credit_card_start_date,credit_card_end_date,debt,vehicle_make,vehicle_model,vehicle_year,vehicle_type
Nicholas,Spencer,71,Male,divorced,False,1,41190,0,Riley LLC,11.35,462 Marilyn radial,Lynneton,W4 0GW,GB43YKET96816855547287,2221597849919620,646,03/18,06/26,None,GMC,RAV4,2002,SUV
Gregory,Knowles,91,Male,married or civil partner,True,2,83845,28289,N/A,0.0,366 Brenda radial,Ritafurt,NE85 1RG,GB53QKRK45175204753504,4050437758955103343,827,11/21,01/27,None,GMC,Lancer,2008,Van/Minivan
Jane,Kirk,43,Female,widowed,False,1,77476,0,Wright and Sons,17.43,Studio 3 Robin viaduct,New Patrickborough,DE9 0PE,GB89YUVB38793083550207,180042313303517,736,03/18,09/23,None,Honda,Grand Marquis,2015,Van/Minivan
Reece,Wilson,20,Male,widowed,False,2,69020,0,"Taylor, Thornton and Clark",16.17,Flat 44 Holt mountains,Lake Debra,N8 7UE,GB95SWFW76559273696664,376608579872611,136,03/18,06/28,"{'amount': '15720.55', 'time_period_years': 4}",Mercedes-Benz,F250 Regular Cab,2007,"Sedan, Wagon"
Jeffrey,Howard,53,Male,married or civil partner,False,2,24817,0,"Clark, Davies and Green",7.69,987 Lambert club,Lloydburgh,OX46 5RB,GB30BONM86467522928720,3577140169412773,42,04/16,09/23,None,Audi,Seville,2008,SUV
Susan,Davies,68,Female,divorced,False,2,83193,0,Lamb-Knowles,18.24,38 Webster landing,South Scottborough,CO80 5ZZ,GB31DWEB00784418470773,567114835570,782,01/22,08/26,None,Chevrolet,Sorento,1993,SUV
Jodie,Robinson,77,Female,widowed,True,1,33507,21627,N/A,0.0,43 Hill shore,North Angelaside,W1D 4TR,GB43ZNIB14917027867786,676202388168,966,09/16,01/30,None,Mercedes-Benz,Cayman,2004,Hatchback
Howard,Faulkner,40,Male,single,False,1,33986,0,Parkin Ltd,9.85,9 Hugh ports,North Kenneth,SK20 1HE,GB48YQIO39664952051753,4119620211132845,785,08/22,11/26,"{'amount': '16741.78', 'time_period_years': 4}",Buick,Accord,2000,Sedan
Janice,Carey,47,Female,married or civil partner,False,2,43099,0,"Baker, Cole and Brooks",11.73,6 Lucy mountains,Lewismouth,L76 2RS,GB07PZWC44366895968740,213133779230962,713,04/15,03/23,None,BMW,Ranger Super Cab,2013,Pickup
Maria,Davies,44,Female,divorced,False,1,24238,0,Murray-Payne,7.54,51 George glens,South Robinton,B1 4UP,GB56UPWO80411072124599,343043496958030,82,07/20,01/21,None,Chrysler,7 Series,2001,SUV
Rosie,Barrett,33,Female,married or civil partner,False,1,58507,0,Walton Ltd,14.49,Flat 19 Pearce ramp,Port Sara,G48 0GA,GB79BMEQ32245667613237,4621673230586500,614,02/19,10/28,"{'amount': '655.27', 'time_period_years': 2}",Mitsubishi,B-Series Regular Cab,2010,Van/Minivan
Scott,Sanderson,81,Male,married or civil partner,True,1,47755,30875,N/A,0.0,Flat 03 Emma plains,Port Janettown,S5J 3HH,GB08BBOK24576487336628,372550372014260,293,04/21,11/30,9970.07,Buick,940,1999,Pickup
Bethany,White,84,Female,divorced,True,3,85975,27303,N/A,0.0,94 Ferguson garden,Fostermouth,G50 5GN,GB14FKGG17760126701689,30275035561051,6363,03/21,09/23,None,Ford,Explorer,2000,"Sedan, Wagon"
Stewart,Crawford,25,Male,married or civil partner,False,2,67874,0,"Field, Johnson and Davies",15.99,9 Reid causeway,South Barryfort,TN84 7BX,GB92YNZK39946083870137,3579824934425339,147,04/18,08/31,None,Porsche,Raider Extended Cab,2014,SUV
Gemma,Evans,37,Female,married or civil partner,False,1,64402,0,"Ali, Hughes and Savage",15.45,30 Leon wall,North Kathleen,G4D 8SH,GB93ZJIK40104503920316,38200246752168,233,07/21,04/25,None,Nissan,E350 Super Duty Cargo,2011,"Sedan, Wagon"
Sally,Rowe,77,Female,married or civil partner,True,2,28950,25100,N/A,0.0,229 Hutchinson greens,Stanleybury,W9H 1FE,GB22MNSP09220744117971,3548871642946179,28,01/19,01/29,None,Toyota,F250 Super Cab,2011,SUV
